,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
440,8/10/2011 4:05,1312945537,emn,83.79,91.30136986301373,1120.76001,-1.524455038,92.82582490063473,83.95,9.93,0.83,2.87,9.38,15.73,10.91,31.86,92.75,6240000000,6240000000,8.3,1.3,0.94,4.77,0.94,1470000000,4.77,571000000,8.44,42.6,25.5,834000000,11.89,1600000000,2.1,27.19,6240000000,2.11,6.87,81.7,1990000,2.5,2.8,2420000,outperform
441,11/24/2004 10:48,1101289697,emr,68.04,0,1181.76001,0,0,0.558,22.82,1.83,3.95,8.05,11.86,7.93,18.25,37.033,28550000000,31240000000,17.58,1.29,2,14.83,2,4900000000,14.83,1260000000,2.982,792.6,1,1350000000,3.21,4040000000,1.479,17.257,2330000000,1.014,0.85,73.65,2680000,1.853,0.64,2940000,underperform
442,4/18/2011 0:44,1303083874,emr,57.55,-15.41740153,1305.140015,10.440360475558823,-25.857762,49.91,19.74,1.99,4.26,10.2,16.68,10.26,21.73,28.95,47060000000,47060000000,14.95,1.15,2.16,10.54,2.16,8330000000,10.54,2040000000,2.92,12.9,14.6,1490000000,1.98,5150000000,1.48,13.49,47060000000,1.23,0.32,73.7,3910000,0.9,0.5,3880000,underperform
443,11/18/2011 12:04,1321614261,emr,49.56,-27.16049383,1215.650024,2.8677577268839944,-30.02825155,49.29,15.13,1.52,3.5,10.24,17.46,11.32,24.43,32.15,40090000000,40090000000,12.27,1.05,1.66,7.87,1.66,8330000000,7.87,2450000000,3.28,1.6,24.8,2049999999.9999998,2.75,5200000000,1.45,14.16,40090000000,1.27,0.32,73.7,11130000,1.9,1.5,13640000,underperform
444,8/31/2004 9:10,1093939827,eog,56.99,0,1104.23999,0,0,0.438,15.7,3.68,2.9,23.81,37.66,9.31,20.6,15.651,6720000000,7880000000,15.04,1.46,4.29,6.83,4.29,1490000000,6.83,426690000,3.629,393.4,59.6,67840000,0.58,1090000000,1.088,19.792999,1360000000,0.717,0.72,95,1210000,0.266,1.04,4550000,underperform
445,10/26/2004 9:06,1098777960,eog,68.88,20.863309352517973,1111.089966,0.6203339909832436,20.24297536153473,0.438,18.98,4.41,3.47,23.81,37.66,9.31,20.6,15.651,8119999999.999999,9280000000,13.51,1.65,5.05,8.04,5.05,1490000000,8.04,426690000,3.629,393.4,59.6,67840000,0.58,1090000000,1.088,19.792999,1360000000,0.703,0.72,94.72,2710000,2.551,2.32,3430000,outperform
446,1/11/2005 1:21,1105402881,eog,66.51,16.704685032461843,1182.98999,7.13160189,9.573083142187972,0.39,16.38,3.93,3.01,24.95,39.19,9.98,21.69,16.687,7890000000,8890000000,12.27,1.75,4.51,7.09,4.51,1490000000,7.09,481580000,4.061,393.4,59.6,81910000,0.69,1060000000,1.063,21.773001,1390000000,0.82,0.74,92.08,3720000,2.721,3.16,3020000,outperform
447,3/24/2005 10:06,1111658794,eog,45.03,-20.98613792,1171.420044,6.083827302794923,-27.06996522,0.366,17.52,4.89,3.89,27.51,43.11,11.99,25.59,9.531,10740000000,11890000000,16.56,1.99,5.24,8.02,5.24,1810000000,8.02,613960000,2.57,45.3,24.4,20980000,0.09,1080000000,0.928,11.968,1440000000,0.801,0.76,94.09,9390000,4.183,3.97,7310000,underperform
448,5/16/2011 3:52,1305514378,eog,105.44,85.01491489735041,1329.469971,20.396832485662827,64.61808241168758,44.81,151.28,4.47,2.4,2.78,4.41,0.83,1.61,25.16,31920000000,31920000000,17.17,2.45,5.03,13.33,5.03,4950000000,13.33,176610000,0.7,13.5,38.8,1670000000,6.22,5280000000,1.44,43.92,31920000000,0.96,0.57,93.2,7170000,3.6,2.8,7540000,outperform
449,11/16/2011 0:14,1321398893,eqr,58.75,97.01542588866532,1236.910034,12.47807113,84.53735476297882,143.47,17.77,7.96,3.09,45.53,27.72,2.34,1.06,7.37,26230000000,26230000000,21.13,2.66,12.18,20.53,12.18,1180000000,20.53,1300000,3.31,274.7,12.8,56570000,0.19,8940000000,0.61,18.66,26230000000,1.45,3.39,94.6,14620000,5.6,5.2,15290000,outperform
450,9/9/2004 13:13,1094732037,eqt,52.75,0,1118.380005,0,0,0.933,12.01,2.89,3.58,24.71,26.85,9.75,30.22,17.785,3260000000,4059999999.9999995,15.25,1.7,3.6,10.51,3.6,582880000,10.51,278580000,4.393,10.3,2,53980000,0.87,848970000,0.693,14.715,145970000,0.251,1.05,71.97,1440000,6.848,2.35,1740000,underperform
451,2/7/2005 15:31,1107786713,eqt,58.01,9.971563981,1201.719971,7.451846923890597,2.519717057152053,1.118,12.85,3.11,4.3,24.92,27.28,9.76,31.12,18.144,3560000000,4450000000,15.68,1.68,3.88,11.16,3.88,582880000,11.16,286050000,4.52,10.3,2,46170000,0.75,927300000,0.597,13.5,172950000,0.348,3.98,71.11,1510000,6.097,2.56,1470000,outperform
452,5/18/2004 10:01,1084870898,esrx,76.68,0,1091.48999,0,0,0.473,23.29,0.44,4.68,1.9,3.42,7.67,22.28,172.737,5980000000,6280000000,16.45,0.98,0.46,11.98,0.46,866340000,11.98,260940000,3.292,23.1,8.4,300860000,3.86,605030000,0.91,16.402,461270000,0.278,21.6,86.63,2730000,2.644,4.47,4650000,underperform
453,4/27/2005 12:58,1114603099,esrx,85.02,10.876369327073537,1156.380005,5.945085671376606,4.931283655696931,0.29,22.12,0.42,5.25,1.92,3.29,8.08,23.03,200.144,6300000000,6430000000,15.95,1.11,0.42,11.11,0.42,944190000,11.11,293520000,3.84,11.5,13.7,255120000,3.44,378560000,0.845,16.197001,496230000,0.04,17.09,87.01,2100000,1.897,3.41,3190000,outperform
454,9/26/2011 5:04,1317009872,esrx,38.71,-49.51747522,1162.949951,6.547010202081653,-56.06448542,223.66,15.86,0.43,10.55,2.87,5.07,13.13,47.4,86.08,22700000000,22700000000,10.05,0.71,0.5,9.04,0.5,2960000000,9.04,1300000000,2.44,15.3,0.6,291000000,0.6,4090000000,0.57,3.74,22700000000,0.86,0.52,92.1,65410000,6.1,12.5,60530000,underperform
455,11/8/2011 7:13,1320732824,esrx,47.09,-38.58894105,1275.920044,16.897090737405655,-55.48603179,184.28,18.54,0.49,10.16,2.9,5.19,13.96,48.84,88.58,25840000000,25840000000,12.97,0.88,0.57,10.01,0.57,2960000000,10.01,1320000000,2.54,7.7,2.8,1060000000,2.18,3990000000,0.64,4.45,25840000000,1.09,0.52,92.1,75500000,7.2,14.4,69160000,underperform
456,11/10/2004 19:48,1100112517,esv,29.7,0,1162.910034,0,0,0.261,49.01,5.79,2.05,12.06,20.36,2.85,4.35,5.029,4490000000,4670000000,22,2.97,6.15,15.75,6.15,337900000,15.75,91400000,0.606,82.6,13.3,280700000,1.86,558700000,2.404,14.191,295400000,1.195,1.21,88.73,6660000,3.634,4.46,6970000,underperform
457,1/28/2005 12:42,1106912537,esv,34.25,15.319865319865322,1171.359985,0.726621213,14.593244106448218,0.261,56.52,6.76,2.39,12.06,20.36,2.85,4.35,5.029,5170000000,5450000000,24.64,3.09,7.19,18.4,7.19,337900000,18.4,91400000,0.606,82.6,13.3,280700000,1.86,558700000,2.404,14.182,286300000,1.148,1.18,85.82,5620000,2.723,3.76,5200000,outperform
458,3/31/2004 13:01,1080738090,etn,56.4,0,1126.209961,0,0,0.627,22.15,1.08,2.77,4.79,7.32,5.06,14.25,53.526,8680000000,9770000000,13.69,1.56,1.21,9.93,1.21,1940000000,9.93,386000000,2.546,66.3,1.2,865000000,5.62,1950000000,1.455,20.372999,774000000,0.675,9.33,74.81,2340000,2.516,1.68,2000000,underperform
